contrast,parcel,t_stat,p_value,native_mean,native_sd,native_se,native_ci_lower,native_ci_upper,l2_mean,l2_sd,l2_se,l2_ci_lower,l2_ci_upper,n_native,n_l2,p_fdr,significant_fdr
real_vs_rest,83,-6.988565067514608,1.4155043078864156e-07,-1.0773805636973728,0.656369589249092,0.16947389920791572,-1.4408659266680341,-0.7138952007267114,0.6882337756167497,0.7256781194129389,0.18736928474622863,0.2863666279683581,1.0901009232651413,15,15,2.547907754195548e-05,True
real_vs_rest,145,-5.07358243874359,2.3294609636712908e-05,-1.4779103914532021,0.8695069241591697,0.22450572244536665,-1.959427276315394,-0.9963935065910104,0.2206329110357524,0.9618424977476575,0.2483466650300815,-0.31201771010954843,0.7532835321810532,15,15,0.0020965148673041615,True
real_vs_rest,80,-4.818452665343618,5.044115206652593e-05,-2.484870614201324,0.9786364245016457,0.25268283827245636,-3.0268214019933755,-1.9429198264092722,-0.546960129827689,1.2118436839584807,0.3128966937451893,-1.218056793265865,0.12413653361048693,15,15,0.0030264691239915557,True
real_vs_rest,144,-4.651833236983056,7.192851426011575e-05,-1.6566774419741068,0.8668672902718157,0.22382417190631287,-2.136732546312993,-1.1766223376352207,-0.16432693980204624,0.8901227002615618,0.22982869294628033,-0.6572604609347767,0.3286065813306843,15,15,0.003236783141705209,True
real_vs_rest,12,-4.403187306532065,0.00016194972232345687,0.4595171247707029,0.9580171572571051,0.247358966362516,-0.07101509342072926,0.9900493429621351,2.268099799482534,1.269985185376919,0.3279087648596631,1.564805445759959,2.9713941532051087,15,15,0.005717897660681069,True
real_vs_rest,79,-4.504717122675841,0.00019582657955138487,-0.6233387161666465,0.861925071240487,0.2225480964395365,-1.100656910831612,-0.146020521501681,1.5673878310172127,1.6747143246426714,0.4324093792664045,0.6399619506358275,2.494813711398598,15,15,0.005717897660681069,True
real_vs_rest,82,-4.312058115355137,0.0002223626868042638,-0.7409509737086872,0.6433182718714259,0.1661040635512645,-1.0972087580224923,-0.38469318939488223,0.5149817351959035,0.9266244167525117,0.23925339561810924,0.0018342372350509395,1.028129233156756,15,15,0.005717897660681069,True
real_vs_rest,81,-4.163848081183208,0.00034324795380458135,-0.40049497384083493,0.9018196055559852,0.23284882090677814,-0.8999060252190495,0.09891607753737963,1.3645157195485713,1.371843145601403,0.35420837710153535,0.6048143075922288,2.124217131504914,15,15,0.00772307896060308,True
real_vs_rest,11,-3.8369440445326704,0.0006557348080125594,-2.8216485413946377,1.1961767817251499,0.308851516982766,-3.4840691635624936,-2.159227919226782,-1.2143344694159615,1.0960743156287744,0.283005171375729,-1.8213201935945218,-0.6073487452374011,15,15,0.013114696160251186,True
real_vs_rest,95,-3.6410879885430933,0.0010928632885090009,-2.7607886239716968,1.3053667415916188,0.3370442433918253,-3.483676630437812,-2.0379006175055814,-1.0652810156421308,1.2444278761259788,0.32130989598614546,-1.7544222032494698,-0.37613982803479185,15,15,0.019671539193162016,True
real_vs_rest,150,3.572178256262146,0.0014382229745698565,0.5193295198473288,0.961527504065847,0.24826533401116063,-0.0131466636112757,1.0518057033059334,-0.9902693752660995,1.3245049469486734,0.34198570676677,-1.7237557665976295,-0.25678298393456955,15,15,0.023534557765688562,True
real_vs_rest,63,-3.3295663550116474,0.0026776607183088756,-0.8952171193197098,0.8685045796102532,0.22424691819569229,-1.3761789242724234,-0.41425531436699625,0.3956784120723154,1.2249278702651691,0.3162750161228213,-0.2826640322289004,1.0740208563735312,15,15,0.040164910774633134,True
real_vs_rest,111,-3.272077720086441,0.00323599922438831,-1.5144771808546573,0.9457022576952674,0.2441792729683017,-2.0381896349825186,-0.9907647267267962,-0.03810196920912256,1.4694984511527351,0.3794228685728091,-0.85188308681567,0.7756791483974249,15,15,0.04480614310691507,True
real_vs_rest,74,-3.0138765969415138,0.006431226586120408,-0.8738011929365462,0.8652067243925393,0.22339541563993168,-1.3529367065429365,-0.394665679330156,0.5210333459164277,1.5697873348507154,0.40531734699760974,-0.348285904306207,1.3903525961390624,15,15,0.07721240084065871,False
real_vs_rest,85,-2.9654193430751468,0.006434366736721558,-0.7009962582709295,0.7770220670377946,0.20062623501820276,-1.1312967363850395,-0.27069578015681944,0.30011766463093426,1.0515718366693276,0.2715146807174034,-0.28222340814600544,0.882458737407874,15,15,0.07721240084065871,False
real_vs_rest,97,-2.801186903948907,0.009679350067683659,-0.982546693680155,0.6247240075964401,0.16130304515979788,-1.328507317659494,-0.6365860697008161,-0.19278155969666327,0.8955823992783974,0.23123838117078097,-0.6887385613674173,0.3031754419740907,15,15,0.10553774115561809,False
real_vs_rest,132,2.7740320542730674,0.00996745333136393,0.9080719523446306,1.1892068530942885,0.3070518891486606,0.2495111479985701,1.566632756690691,-0.18407732295347057,0.9543778842190538,0.24641931010460436,-0.7125941789117152,0.34443953300477403,15,15,0.10553774115561809,False
real_vs_rest,69,2.7192218422611805,0.011155168200260747,0.6044732237559796,1.1552958068054546,0.29829609464671913,-0.03530826910017293,1.244254716612132,-0.6014956079851675,1.27108053269669,0.3281915823215155,-1.305396544835034,0.102405328864699,15,15,0.11155168200260747,False
real_vs_rest,64,2.6711399381305907,0.012913050478382496,0.005973154317755735,1.1141577856140887,0.2876743032487133,-0.611026861746114,0.6229731703816254,-1.2854954760469255,1.505020493761592,0.3885946205359673,-2.1189480451689384,-0.45204290692491245,15,15,0.12233416242678154,False
real_vs_rest,171,-2.583400004778151,0.015361608155896272,-0.13875964925346834,0.9930472574758137,0.25640369934671836,-0.6886908903451887,0.4111715918382521,0.7527883405002537,0.8946138901673546,0.2309883131935997,0.2573676812980326,1.2482089997024748,15,15,0.13825447340306646,False
