parcel	section	section_num	lh_R	lh_G	lh_B	rh_R	rh_G	rh_B	s_R	s_G	s_B	Parcel Number
IP0	Inferior_Parietal_Cortex	17	0.439216	0.627451	0.811765	0.419608	0.701961	0.843137	0.501961	0.501961	0.501961	146
PFop	Inferior_Parietal_Cortex	17	0.733333	0.803922	0.568627	0.666667	0.788235	0.533333	0.501961	0.501961	0.501961	147
PF	Inferior_Parietal_Cortex	17	1	1	0.886275	1	1	0.866667	0.501961	0.501961	0.501961	148
PFm	Inferior_Parietal_Cortex	17	0.521569	0.411765	0.447059	0.627451	0.486275	0.52549	0.501961	0.501961	0.501961	149
PGi	Inferior_Parietal_Cortex	17	0.207843	0.243137	0.180392	0.211765	0.243137	0.192157	0.501961	0.501961	0.501961	150
PGs	Inferior_Parietal_Cortex	17	0.243137	0.262745	0.223529	0.34902	0.309804	0.298039	0.501961	0.501961	0.501961	151
V6A	Dorsal_Stream_Visual_Cortex	3	0.160784	0.34902	0.65098	0.196078	0.392157	0.666667	0.501961	0.501961	1	152
VMV1	Ventral_Stream_Visual_Cortex	4	0.243137	0.239216	0.607843	0.2	0.298039	0.65098	0.376471	0	0.752941	153
VMV3	Ventral_Stream_Visual_Cortex	4	0.192157	0.207843	0.623529	0.164706	0.270588	0.670588	0.376471	0	0.752941	154
PHA2	Medial_Temporal	13	0.345098	0.352941	0.34902	0.290196	0.4	0.380392	0.25098	0.188235	0.25098	155
V4t	MT+_Complex_and_Neighboring_Visual_Areas	5	0.054902	0.309804	0.501961	0.0509804	0.411765	0.501961	0.12549	0.501961	0.501961	156
FST	MT+_Complex_and_Neighboring_Visual_Areas	5	0.360784	0.615686	0.6	0.286275	0.643137	0.584314	0.12549	0.501961	0.501961	157
V3CD	MT+_Complex_and_Neighboring_Visual_Areas	5	0.0588235	0.180392	0.713726	0.0862745	0.286275	0.8	0.12549	0.501961	0.501961	158
LO3	MT+_Complex_and_Neighboring_Visual_Areas	5	0.211765	0.368627	0.627451	0.219608	0.427451	0.666667	0.12549	0.501961	0.501961	159
VMV2	Ventral_Stream_Visual_Cortex	4	0.262745	0.243137	0.631373	0.231373	0.298039	0.678431	0.376471	0	0.752941	160
31pd	Posterior_Cingulate	18	0.219608	0.0862745	0.176471	0.305882	0.105882	0.235294	0.501961	0.12549	0.376471	161
31a	Posterior_Cingulate	18	0.560784	0.411765	0.521569	0.552941	0.419608	0.52549	0.501961	0.12549	0.376471	162
VVC	Ventral_Stream_Visual_Cortex	4	0.207843	0.239216	0.486275	0.207843	0.313726	0.529412	0.376471	0	0.752941	163
25	Anterior_Cingulate	19	0.141176	0.0941176	0.054902	0.101961	0.0745098	0.0470588	0.376471	0.25098	0.12549	164
s32	Anterior_Cingulate	19	0.180392	0.137255	0.0823529	0.105882	0.0745098	0.0352941	0.376471	0.25098	0.12549	165
pOFC	Orbital_and_Polar_Frontal_Cortex	20	0.298039	0.188235	0.207843	0.301961	0.207843	0.239216	0.752941	0.752941	0.752941	166
PoI1	Insular_Cortex	12	0.643137	0.407843	0.380392	0.65098	0.419608	0.403922	1	0.627451	0.752941	167
Ig	Insular_Cortex	12	0.431373	0.482353	0.141176	0.423529	0.509804	0.160784	1	0.627451	0.752941	168
FOP5	Insular_Cortex	12	0.639216	0.4	0.411765	0.721569	0.415686	0.466667	1	0.627451	0.752941	169
p10p	Orbital_and_Polar_Frontal_Cortex	20	0.34902	0.25098	0.298039	0.360784	0.27451	0.32549	0.752941	0.752941	0.752941	170
p47r	Inferior_Frontal_Cortex	21	0.494118	0.482353	0.439216	0.584314	0.478431	0.478431	0.188235	0.12549	0.0627451	171
TGv	Lateral_Temporal_Cortex	14	0.180392	0.2	0.164706	0.219608	0.254902	0.211765	0.12549	0.12549	0.12549	172
MBelt	Early_Auditory_Cortex	10	0.733333	0.117647	0.0941176	0.737255	0.0666667	0.101961	1	0	0	173
LBelt	Early_Auditory_Cortex	10	0.913725	0.0705882	0.105882	0.847059	0.0941176	0.109804	1	0	0	174
A4	Auditory_Association_Cortex	11	0.596078	0.152941	0.0156863	0.588235	0.156863	0.0313726	0.501961	0	0	175
STSva	Auditory_Association_Cortex	11	0.156863	0.129412	0.0862745	0.192157	0.156863	0.137255	0.501961	0	0	176
TE1m	Lateral_Temporal_Cortex	14	0.231373	0.176471	0.168627	0.321569	0.211765	0.231373	0.12549	0.12549	0.12549	177
PI	Insular_Cortex	12	0.478431	0.196078	0.196078	0.505882	0.231373	0.243137	1	0.627451	0.752941	178
a32pr	Anterior_Cingulate	19	0.509804	0.247059	0.341176	0.596078	0.317647	0.427451	0.376471	0.25098	0.12549	179
p24	Anterior_Cingulate	19	0.482353	0.137255	0.290196	0.478431	0.172549	0.317647	0.376471	0.25098	0.12549	180
