contrast,parcel,f_stat,p_value,native_mean,native_sd,native_se,native_ci_lower,native_ci_upper,l2_high_mean,l2_high_sd,l2_high_se,l2_high_ci_lower,l2_high_ci_upper,l2_low_mean,l2_low_sd,l2_low_se,l2_low_ci_lower,l2_low_ci_upper,n_native,n_l2_high,n_l2_low,p_fdr,significant_fdr
real_vs_rest,83,24.660272831339135,8.086321701698309e-07,-1.0773805636973728,0.656369589249092,0.16947389920791572,-1.4408659266680341,-0.7138952007267114,0.5372606068101147,0.8186949148258185,0.2894523629981396,-0.14718547041612395,1.2217066840363533,0.86077453996719,0.6177860103978348,0.2335011638524906,0.28941777488038534,1.4321313050539946,15,8,7,0.00014555379063056957,True
real_vs_rest,82,15.394031004056695,3.456177666180569e-05,-0.7409509737086872,0.6433182718714259,0.1661040635512645,-1.0972087580224923,-0.38469318939488223,0.9958456970441668,0.9504408580254561,0.3360315879132803,0.20125725496319158,1.790434139125142,-0.034577078344968856,0.5375173080406301,0.20316244606691522,-0.5316976753337063,0.4625435186437685,15,8,7,0.002374393743008828,True
real_vs_rest,145,15.105673457937925,3.957322905014713e-05,-1.4779103914532021,0.8695069241591697,0.22450572244536665,-1.959427276315394,-0.9963935065910104,-0.13900097380321025,1.0417050030113133,0.3682983358126262,-1.0098881504870094,0.7318862028805888,0.6316430651374239,0.7232716176189805,0.27337097579588926,-0.03727161529660461,1.3005577455714523,15,8,7,0.002374393743008828,True
real_vs_rest,80,11.271294710575244,0.0002761838886479244,-2.484870614201324,0.9786364245016457,0.25268283827245636,-3.0268214019933755,-1.9429198264092722,-0.6255174639346751,1.2047635617942378,0.42594824213558186,-1.6327250072117874,0.38169007934243704,-0.4571803194197051,1.3098302678640386,0.49506930692476625,-1.6685712736720464,0.7542106348326363,15,8,7,0.012428274989156596,True
real_vs_rest,144,10.460605766232128,0.00043279841467742806,-1.6566774419741068,0.8668672902718157,0.22382417190631287,-2.136732546312993,-1.1766223376352207,-0.1264608897276272,1.066481853281166,0.3770582752337545,-1.01806203160911,0.7651402521538555,-0.2076024256013822,0.7195129164885061,0.2719503203039103,-0.8730408872756932,0.4578360360729288,15,8,7,0.01558074292838741,True
real_vs_rest,79,9.785640143609541,0.000636524937996004,-0.6233387161666465,0.861925071240487,0.2225480964395365,-1.100656910831612,-0.146020521501681,1.5525579229910016,1.6587901561916036,0.5864708840042876,0.1657746478214046,2.939341198160599,1.5843362973328827,1.8257641929426969,0.6900740010247034,-0.10421395394149613,3.2728865486072616,15,8,7,0.01909574813988012,True
real_vs_rest,12,9.347922562608023,0.0008223849983106023,0.4595171247707029,0.9580171572571051,0.247358966362516,-0.07101509342072926,0.9900493429621351,2.2712349522190323,1.3703957433806055,0.484508061526803,1.1255554398405452,3.4169144645975194,2.264516767783678,1.2539280442188832,0.47394025242468113,1.104826747391083,3.4242067881762726,15,8,7,0.0211470428137012,True
real_vs_rest,81,8.400228041871378,0.0014569655207079192,-0.40049497384083493,0.9018196055559852,0.23284882090677814,-0.8999060252190495,0.09891607753737963,1.3003123434781811,1.3439023218117987,0.47514122250273433,0.17678188581677245,2.42384280113959,1.4378910064861607,1.5074355903735344,0.5697570985108862,0.04374560986589637,2.832036403106425,15,8,7,0.03278172421592818,True
real_vs_rest,113,8.16621450932918,0.0016843597439044687,-0.48153298376306203,1.311132351068809,0.3385329173575516,-1.2076138783335166,0.24454791080739263,0.44425417548585683,1.0688471806406463,0.37789454474156187,-0.44932442955465474,1.3378327805263683,-2.006522564817008,0.9655992635985771,0.36496221680413404,-2.899552938335187,-1.1134921912988296,15,8,7,0.03368719487808937,True
real_vs_rest,11,7.5543547954860495,0.002479646222756485,-2.8216485413946377,1.1961767817251499,0.308851516982766,-3.4840691635624936,-2.159227919226782,-0.9985199588629063,0.9651515795183487,0.34123261337516586,-1.8054068718842078,-0.1916330458416049,-1.4609796243337385,1.2583214761720556,0.47560081361756384,-2.6247328915887493,-0.29722635707872747,15,8,7,0.04463363200961673,True
